,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
5237,McMafia,1970-01-01 00:00:00.000002006,7.7,"14,696","Crime, Drama, Thriller",60.0,Series,TV-14,9,Mild,Moderate,Moderate,Mild,Moderate
5238,The Exorcism of Emily Rose,1970-01-01 00:00:00.000002005,6.7,"124,490","Drama, Horror, Thriller",119.0,Film,PG-13,-,,Moderate,Mild,Mild,Severe
5239,The Awakening,1970-01-01 00:00:00.000002011,6.5,"65,122","Horror, Thriller",102.0,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
5240,Clerks,1970-01-01 00:00:00.000001994,7.7,"216,743",Comedy,92.0,Film,R,-,Moderate,Mild,Severe,Moderate,
5241,Bad Boys II,1970-01-01 00:00:00.000002003,6.6,"240,418","Action, Comedy, Crime",147.0,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
5242,The Croods: Family Tree,1970-01-01 00:00:00.000002003,7.3,107,"Animation, Short, Adventure",11.0,Series,TV-Y7,6,No Rate,No Rate,No Rate,No Rate,No Rate
5243,Black Sunday,1970-01-01 00:00:00.000001977,6.8,"7,515","Adventure, Crime, Drama",143.0,Film,R,-,,Severe,Mild,Mild,Moderate
5244,IO,1970-01-01 00:00:00.000002019,4.7,"32,827","Adventure, Drama, Sci-Fi",96.0,Film,TV-14,-,Mild,,Mild,,Mild
5246,Rescue Me,1970-01-01 00:00:00.000002019,8.3,"25,738","Comedy, Drama",60.0,Series,TV-MA,95,Severe,Moderate,Severe,Severe,Severe
5247,The Bridge,1970-01-01 00:00:00.000002019,7.6,"18,528","Crime, Drama, Mystery",43.0,Series,TV-MA,26,Mild,Severe,Moderate,Moderate,Moderate
5248,The Bourne Ultimatum,1970-01-01 00:00:00.000002007,8.0,"617,345","Action, Adventure, Mystery",115.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
5249,Romy and Michele's High School Reunion,1970-01-01 00:00:00.000001997,6.2,"44,930",Comedy,92.0,Film,R,-,Mild,,Mild,Mild,
5250,While You Were Sleeping,1970-01-01 00:00:00.000001995,6.7,"96,463","Comedy, Drama, Romance",103.0,Film,PG,-,Mild,,Mild,Mild,
5252,Every Which Way but Loose,1970-01-01 00:00:00.000001978,6.3,"26,080","Action, Comedy",114.0,Film,PG,-,Moderate,Mild,Moderate,Moderate,Mild
5253,Macbeth,1970-01-01 00:00:00.000002015,6.6,"54,784","Drama, History, War",113.0,Film,R,-,Mild,Severe,,Mild,Moderate
5254,Tumbbad,1970-01-01 00:00:00.000002018,8.3,"37,344","Drama, Fantasy, Horror",104.0,Film,Not Rated,-,Mild,Moderate,Mild,Mild,Moderate
5255,Alone in the Dark,1970-01-01 00:00:00.000001982,6.1,"5,378","Horror, Thriller",92.0,Film,R,-,Moderate,Moderate,Mild,,Moderate
5256,Westworld,1970-01-01 00:00:00.000001973,7.0,"55,319","Action, Sci-Fi, Thriller",88.0,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
5257,In the Cut,1970-01-01 00:00:00.000002003,5.3,"23,076","Mystery, Thriller",119.0,Film,R,-,Severe,Severe,Severe,Mild,Severe
5258,Keeping Faith,1970-01-01 00:00:00.000002003,7.1,"4,636","Drama, Mystery, Thriller",60.0,Series,Not Rated,20,No Rate,No Rate,No Rate,No Rate,No Rate
5259,L.A. Law,1970-01-01 00:00:00.000002003,7.0,"5,264",Drama,46.0,Series,TV-PG,171,Moderate,No Rate,Moderate,Moderate,No Rate
5260,Escape Plan,1970-01-01 00:00:00.000002013,6.7,"235,362","Action, Thriller",115.0,Film,R,-,,Severe,Severe,Mild,Mild
5261,Sleeping with the Enemy,1970-01-01 00:00:00.000001991,6.3,"54,035","Drama, Thriller",99.0,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
5262,Messiah,1970-01-01 00:00:00.000002020,7.6,"40,704","Drama, Mystery, Thriller",43.0,Series,TV-MA,10,Mild,Mild,Moderate,Mild,Mild
5263,Deep Rising,1970-01-01 00:00:00.000001998,6.1,"35,602","Action, Adventure, Horror",106.0,Film,R,-,Mild,Severe,Mild,Mild,Moderate
5264,Day of the Dead,1970-01-01 00:00:00.000001985,7.1,"66,401","Horror, Thriller",101.0,Film,Not Rated,-,,Severe,Severe,Mild,Severe
5266,22 Jump Street,1970-01-01 00:00:00.000002014,7.0,"358,915","Action, Comedy, Crime",112.0,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
5267,Doctor Zhivago,1970-01-01 00:00:00.000001965,8.0,"72,957","Drama, Romance, War",197.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
5268,Terror Train,1970-01-01 00:00:00.000001980,5.8,"11,159","Horror, Mystery, Thriller",97.0,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
5269,Code 404,1970-01-01 00:00:00.000001980,6.3,"1,717","Action, Comedy, Crime",25.0,Series,,13,No Rate,No Rate,No Rate,No Rate,No Rate
5270,Extinction,1970-01-01 00:00:00.000002018,5.8,"50,067","Action, Drama, Sci-Fi",95.0,Film,TV-MA,-,,Moderate,Mild,,Moderate
5271,The Last Picture Show,1970-01-01 00:00:00.000001971,8.0,"45,203","Drama, Romance",118.0,Film,R,-,Moderate,Mild,Mild,Mild,
5272,Skam,1970-01-01 00:00:00.000001971,8.6,"30,748","Drama, Romance",30.0,Series,Not Rated,43,Moderate,Mild,Mild,Moderate,Mild
5273,The Insider,1970-01-01 00:00:00.000001999,7.8,"166,344","Biography, Drama, Thriller",157.0,Film,R,-,,Mild,Moderate,Mild,Mild
5274,Kodachrome,1970-01-01 00:00:00.000002017,6.8,"14,642",Drama,105.0,Film,TV-MA,-,,,Moderate,Moderate,
5275,The Dead Zone,1970-01-01 00:00:00.000001983,7.2,"66,644","Drama, Horror, Sci-Fi",103.0,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
5277,What Lies Beneath,1970-01-01 00:00:00.000002000,6.6,"121,865","Drama, Horror, Mystery",130.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
5278,The Hate U Give,1970-01-01 00:00:00.000002018,7.5,"33,758","Crime, Drama",133.0,Film,PG-13,-,,Moderate,Moderate,Mild,Severe
5279,Pale Rider,1970-01-01 00:00:00.000001985,7.3,"56,565","Drama, Western",115.0,Film,R,-,Mild,Severe,Mild,Mild,Moderate
5280,The Last Black Man in San Francisco,1970-01-01 00:00:00.000002019,7.3,"16,962",Drama,121.0,Film,R,-,Mild,Mild,Severe,Mild,Mild
5281,Distancia de rescate,1970-01-01 00:00:00.000002021,5.1,677,"Drama, Horror, Mystery",93.0,Film,R,-,Mild,No Rate,No Rate,No Rate,No Rate
5282,The Wrestler,1970-01-01 00:00:00.000002008,7.9,"297,304","Drama, Sport",109.0,Film,R,-,Severe,Severe,Moderate,Moderate,Moderate
5283,12 Strong,1970-01-01 00:00:00.000002018,6.6,"74,061","Action, Drama, History",130.0,Film,R,-,,Severe,Moderate,Mild,Moderate
5284,Always Be My Maybe,1970-01-01 00:00:00.000002019,6.8,"51,053","Comedy, Romance",101.0,Film,PG-13,-,Mild,Mild,Moderate,Moderate,
5285,Magic Mike XXL,1970-01-01 00:00:00.000002015,5.6,"54,253","Comedy, Drama, Music",115.0,Film,R,-,Moderate,Mild,Severe,Moderate,
5286,Attack the Block,1970-01-01 00:00:00.000002011,6.7,"104,078","Action, Adventure, Comedy",88.0,Film,R,-,Mild,Severe,Severe,Severe,Moderate
5288,Inheritance,1970-01-01 00:00:00.000002020,5.5,"11,263","Drama, Mystery, Thriller",111.0,Film,TV-MA,-,,Mild,Moderate,Mild,Moderate
5289,Deadly Illusions,1970-01-01 00:00:00.000002021,3.7,"11,038","Drama, Thriller",114.0,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
5290,Horrible Bosses 2,1970-01-01 00:00:00.000002014,6.3,"164,781","Comedy, Crime",108.0,Film,R,-,Moderate,Moderate,Severe,Mild,
5291,The Fairly OddParents,1970-01-01 00:00:00.000002014,7.2,"36,564","Animation, Adventure, Comedy",30.0,Series,TV-Y7,159,Mild,Mild,Mild,,Mild
5292,Kara Sevda,1970-01-01 00:00:00.000002014,7.3,"7,727","Drama, Romance",90.0,Series,TV-14,74,Mild,Severe,Moderate,Moderate,Moderate
5293,Yumieui Sepodeul,1970-01-01 00:00:00.000002014,8.9,718,"Comedy, Romance",70.0,Series,,14,No Rate,No Rate,No Rate,No Rate,No Rate
5294,The Conversation,1970-01-01 00:00:00.000001974,7.8,"106,092","Drama, Mystery, Thriller",113.0,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
5295,Star Trek: The Motion Picture,1970-01-01 00:00:00.000001979,6.4,"86,322","Adventure, Mystery, Sci-Fi",132.0,Film,G,-,,Mild,Mild,,Mild
5296,Funny Games,1970-01-01 00:00:00.000001997,7.6,"69,536","Crime, Drama, Thriller",108.0,Film,Not Rated,-,Mild,Severe,Mild,Mild,Severe
5297,Jungle,1970-01-01 00:00:00.000002017,6.7,"53,145","Action, Adventure, Biography",115.0,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
5298,Poltergeist,1970-01-01 00:00:00.000002015,4.9,"56,692","Horror, Thriller",93.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
5299,Blair Witch,1970-01-01 00:00:00.000002016,5.0,"43,679","Horror, Mystery, Thriller",89.0,Film,R,-,,Moderate,Severe,Mild,Severe
5300,Gwendoline,1970-01-01 00:00:00.000001984,5.3,"2,858","Action, Adventure, Comedy",105.0,Film,R,-,Moderate,Moderate,Mild,Mild,Mild
5301,Bride Wars,1970-01-01 00:00:00.000002009,5.5,"104,026","Comedy, Romance",89.0,Film,PG,-,Mild,,Mild,Mild,
5302,I Dream of Jeannie,1970-01-01 00:00:00.000002009,7.4,"14,582","Comedy, Family, Fantasy",30.0,Series,TV-G,139,,,,,
5303,La Strada,1970-01-01 00:00:00.000001954,8.0,"60,963",Drama,108.0,Film,Not Rated,-,,Mild,Mild,Moderate,Mild
5304,Beforeigners,1970-01-01 00:00:00.000001954,7.8,"7,612","Crime, Drama, Sci-Fi",45.0,Series,TV-14,12,Moderate,Moderate,No Rate,Moderate,No Rate
5305,How to Train Your Dragon: The Hidden World,1970-01-01 00:00:00.000002019,7.5,"115,487","Animation, Action, Adventure",104.0,Film,PG,-,,Mild,,,Mild
5306,I Love Lucy,1970-01-01 00:00:00.000002019,8.4,"23,300","Comedy, Family",30.0,Series,TV-G,181,,,,Mild,
5307,It's a Mad Mad Mad Mad World,1970-01-01 00:00:00.000001963,7.5,"39,857","Action, Adventure, Comedy",210.0,Film,G,-,,Mild,,Mild,
5308,All the Money in the World,1970-01-01 00:00:00.000002017,6.8,"80,525","Biography, Crime, Drama",132.0,Film,R,-,Mild,Moderate,Mild,Moderate,Moderate
5309,Klaus,1970-01-01 00:00:00.000002019,8.2,"120,667","Animation, Adventure, Comedy",96.0,Film,PG,-,,,,,Mild
5310,Heavy Metal,1970-01-01 00:00:00.000001981,6.7,"33,533","Animation, Adventure, Fantasy",86.0,Film,R,-,Severe,Severe,Moderate,Moderate,Moderate
5311,The Wrong Missy,1970-01-01 00:00:00.000002020,5.7,"36,072","Comedy, Romance",90.0,Film,TV-MA,-,Moderate,Mild,Severe,Moderate,Mild
5312,Fences,1970-01-01 00:00:00.000002016,7.2,"103,351",Drama,139.0,Film,PG-13,-,,Mild,Moderate,Mild,Mild
5313,Warrior Queen,1970-01-01 00:00:00.000001987,3.3,779,Drama,79.0,Film,R,-,Moderate,Moderate,,Mild,Mild
5314,Zombie Strippers!,1970-01-01 00:00:00.000002008,4.1,"18,110","Comedy, Horror, Sci-Fi",94.0,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
5315,Year One,1970-01-01 00:00:00.000002009,4.9,"95,446",Comedy,97.0,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
5317,Observe and Report,1970-01-01 00:00:00.000002009,5.8,"62,197","Comedy, Crime, Drama",86.0,Film,R,-,Severe,Moderate,Severe,Severe,Mild
5318,Taxi,1970-01-01 00:00:00.000002004,4.5,"41,434","Action, Comedy, Crime",97.0,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,
5319,Species II,1970-01-01 00:00:00.000001998,4.4,"28,643","Action, Horror, Sci-Fi",93.0,Film,R,-,Severe,Severe,Moderate,Mild,Severe
5320,Shigatsu wa kimi no uso,1970-01-01 00:00:00.000001998,8.6,"22,719","Animation, Drama, Music",23.0,Series,TV-PG,23,Mild,Mild,Mild,Mild,Moderate
5321,Riviera,1970-01-01 00:00:00.000001998,6.7,"7,383","Drama, Thriller",60.0,Series,TV-MA,28,Moderate,Moderate,Mild,Moderate,Mild
5322,Paddington,1970-01-01 00:00:00.000002014,7.3,"105,614","Animation, Adventure, Comedy",95.0,Film,PG,-,,Mild,,Mild,Mild
5323,The Clovehitch Killer,1970-01-01 00:00:00.000002018,6.6,"22,808","Crime, Drama, Mystery",109.0,Film,Unrated,-,Moderate,Moderate,Mild,,Moderate
5324,Kiseijû: Sei no kakuritsu,1970-01-01 00:00:00.000002018,8.3,"30,877","Animation, Action, Horror",22.0,Series,TV-MA,24,Moderate,Severe,Mild,Mild,Severe
5325,Breach,1970-01-01 00:00:00.000002020,3.0,"16,444","Action, Horror, Sci-Fi",92.0,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
5326,Do lok tin si,1970-01-01 00:00:00.000001995,7.7,"33,181","Comedy, Crime, Drama",99.0,Film,Not Rated,-,Moderate,Moderate,Mild,Moderate,Mild
5327,Buffalo '66,1970-01-01 00:00:00.000001998,7.5,"51,663","Comedy, Drama, Romance",110.0,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
5328,A Room with a View,1970-01-01 00:00:00.000001985,7.3,"41,885","Drama, Romance",117.0,Film,Not Rated,-,Moderate,Mild,,Mild,Mild
5329,The Rocketeer,1970-01-01 00:00:00.000001991,6.5,"55,673","Action, Adventure, Family",108.0,Film,PG,-,,Mild,Mild,Mild,Mild
5330,Safe Haven,1970-01-01 00:00:00.000002013,6.7,"107,820","Drama, Romance, Thriller",115.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
5331,Cool Hand Luke,1970-01-01 00:00:00.000001967,8.1,"170,487","Crime, Drama",127.0,Film,GP,-,Mild,Mild,Mild,Mild,Moderate
5332,The Terminal Man,1970-01-01 00:00:00.000001974,5.7,"2,221","Horror, Sci-Fi, Thriller",107.0,Film,PG,-,,,,,
5333,This Way Up,1970-01-01 00:00:00.000001974,7.8,"4,538",Comedy,25.0,Series,,12,No Rate,No Rate,No Rate,No Rate,No Rate
5334,The Big Chill,1970-01-01 00:00:00.000001983,7.2,"35,267","Comedy, Drama",105.0,Film,R,-,Mild,,Moderate,Moderate,Mild
5335,Curse of Chucky,1970-01-01 00:00:00.000002013,5.6,"36,923","Adventure, Comedy, Fantasy",97.0,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
5336,RoboCop,1970-01-01 00:00:00.000002014,6.1,"221,688","Action, Crime, Sci-Fi",117.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
5337,Jack Whitehall: Travels with My Father,1970-01-01 00:00:00.000002014,7.6,"4,867","Documentary, Comedy",30.0,Series,TV-MA,18,Mild,,Severe,Mild,
5338,Serenity,1970-01-01 00:00:00.000002019,5.4,"39,075","Drama, Mystery, Thriller",106.0,Film,R,-,Moderate,Mild,Moderate,Mild,Mild
5339,Come from Away,1970-01-01 00:00:00.000002021,8.8,"1,571","Comedy, Drama, Musical",106.0,Film,TV-14,-,,,Moderate,Mild,
5340,Neighbors,1970-01-01 00:00:00.000002014,6.3,"298,106",Comedy,97.0,Film,R,-,Severe,Mild,Severe,Severe,
5341,The Rhythm Section,1970-01-01 00:00:00.000002020,5.4,"15,846","Action, Drama, Mystery",109.0,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
5342,DCI Banks,1970-01-01 00:00:00.000002020,7.6,"6,723","Crime, Drama, Mystery",45.0,Series,TV-14,32,Severe,Moderate,Mild,Moderate,Moderate
5343,The Lone Ranger,1970-01-01 00:00:00.000002013,6.4,"227,651","Action, Adventure, Western",150.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
5344,Yeoshingangrim,1970-01-01 00:00:00.000002013,8.1,"4,064","Comedy, Drama, Romance",70.0,Series,TV-Y,16,,Mild,,Mild,Mild
5345,Speed Racer,1970-01-01 00:00:00.000002008,6.0,"71,302","Action, Adventure, Comedy",135.0,Film,PG,-,,Mild,Mild,,Mild
5346,The Beach Bum,1970-01-01 00:00:00.000002019,5.5,"20,683",Comedy,95.0,Film,R,-,Severe,Mild,Severe,Severe,Mild
5347,American Pie 2,1970-01-01 00:00:00.000002001,6.4,"247,420",Comedy,108.0,Film,R,-,Severe,Mild,Severe,Moderate,
5348,Agatha Raisin,1970-01-01 00:00:00.000002001,7.3,"3,744","Comedy, Drama, Mystery",60.0,Series,Not Rated,20,Moderate,Moderate,Mild,Mild,Moderate
5349,Battlestar Galactica,1970-01-01 00:00:00.000002001,7.2,"14,802","Action, Adventure, Sci-Fi",60.0,Series,TV-PG,21,No Rate,No Rate,,No Rate,No Rate
5351,Sesame Street,1970-01-01 00:00:00.000002001,8.1,"12,941","Animation, Adventure, Comedy",55.0,Series,TV-Y,2257,,,,,Mild
5352,Episodes,1970-01-01 00:00:00.000002001,7.8,"34,233",Comedy,30.0,Series,TV-MA,41,Moderate,,Severe,Mild,No Rate
5353,Above Suspicion,1970-01-01 00:00:00.000002019,5.6,"4,689","Action, Biography, Crime",104.0,Film,R,-,Mild,Severe,Moderate,Severe,Moderate
5354,Killer Joe,1970-01-01 00:00:00.000002011,6.7,"75,709","Crime, Drama, Thriller",102.0,Film,Unrated,-,Severe,Severe,Severe,Moderate,Severe
5355,"Legally Blonde 2: Red, White & Blonde",1970-01-01 00:00:00.000002003,4.8,"64,245",Comedy,95.0,Film,PG-13,-,,,Mild,,
5357,King Kong,1970-01-01 00:00:00.000001976,5.9,"31,536","Adventure, Horror",134.0,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
5358,G.I. Jane,1970-01-01 00:00:00.000001997,6.0,"77,700","Action, Drama, War",125.0,Film,R,-,Mild,Moderate,Moderate,Mild,Mild
5359,The Fountain,1970-01-01 00:00:00.000002006,7.2,"234,133","Drama, Mystery, Romance",97.0,Film,PG-13,-,Mild,Moderate,Mild,,Moderate
5360,Dinner for Schmucks,1970-01-01 00:00:00.000002010,5.9,"104,056",Comedy,114.0,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild
5361,Mortal Kombat Legends: Battle of the Realms,1970-01-01 00:00:00.000002021,6.6,"4,097","Animation, Action, Adventure",80.0,Film,R,-,,Severe,Moderate,,Moderate
5362,The Return of the Texas Chainsaw Massacre,1970-01-01 00:00:00.000001994,3.3,"21,413","Comedy, Horror, Thriller",87.0,Film,R,-,Mild,Mild,Severe,Mild,Moderate
5363,Madeo,1970-01-01 00:00:00.000002009,7.8,"58,858","Crime, Drama, Mystery",129.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
5364,Get Shorty,1970-01-01 00:00:00.000001995,6.9,"80,782","Comedy, Crime, Thriller",105.0,Film,R,-,Mild,Moderate,Severe,Moderate,
5365,The Flower of Evil,1970-01-01 00:00:00.000002020,8.7,"4,889","Crime, Mystery, Romance",70.0,Series,,17,No Rate,No Rate,No Rate,No Rate,No Rate
5366,I Am Mother,1970-01-01 00:00:00.000002019,6.7,"83,654","Drama, Mystery, Sci-Fi",113.0,Film,TV-14,-,,Moderate,Mild,,Mild
5367,Den 12. mann,1970-01-01 00:00:00.000002017,7.4,"23,841","Drama, History, Thriller",135.0,Film,Unrated,-,,Severe,,Mild,Severe
5368,Staten Island Summer,1970-01-01 00:00:00.000002015,5.6,"6,942","Comedy, Drama",108.0,Film,R,-,Mild,Mild,Severe,Severe,
5369,V/H/S Viral,1970-01-01 00:00:00.000002014,4.2,"15,950","Horror, Thriller",81.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
5370,Little Monsters,1970-01-01 00:00:00.000001989,6.1,"12,406","Adventure, Comedy, Family",100.0,Film,PG,-,Mild,Moderate,Moderate,Mild,Moderate
5371,Fun Size,1970-01-01 00:00:00.000002012,5.4,"14,231","Adventure, Comedy",86.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
5372,Bottle Rocket,1970-01-01 00:00:00.000001996,7.0,"73,454","Comedy, Crime, Drama",91.0,Film,R,-,Mild,Mild,Moderate,Mild,
5373,Zathura: A Space Adventure,1970-01-01 00:00:00.000002005,6.2,"98,983","Action, Adventure, Comedy",101.0,Film,PG,-,,Mild,Mild,,Moderate
5374,Electric Dreams,1970-01-01 00:00:00.000002005,7.3,"15,113",Sci-Fi,60.0,Series,TV-MA,10,Severe,Moderate,Moderate,Mild,Mild
5375,Picture of Beauty,1970-01-01 00:00:00.000002017,3.4,988,"Drama, Romance",70.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
5376,Hell's Kitchen,1970-01-01 00:00:00.000002017,7.1,"19,863","Game-Show, Reality-TV",42.0,Series,TV-14,312,,Mild,Severe,Mild,Mild
5377,Escape Room,1970-01-01 00:00:00.000002017,4.2,"11,494","Horror, Thriller",81.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
5378,Everybody Hates Chris,1970-01-01 00:00:00.000002017,7.4,"35,802","Comedy, Drama, Music",22.0,Series,TV-PG,88,,Mild,Mild,Mild,
5379,Menace II Society,1970-01-01 00:00:00.000001993,7.5,"55,261","Crime, Drama, Thriller",97.0,Film,R,-,Mild,Severe,Severe,Severe,Severe
5380,Hachi: A Dog's Tale,1970-01-01 00:00:00.000002009,8.1,"267,501","Biography, Drama, Family",93.0,Film,G,-,,,,,Mild
5381,L'amant,1970-01-01 00:00:00.000001992,6.9,"20,291","Biography, Drama, Romance",115.0,Film,R,-,Severe,Mild,Mild,Moderate,Mild
5382,Dalziel and Pascoe,1970-01-01 00:00:00.000001992,7.3,"2,643","Crime, Mystery, Drama",120.0,Series,TV-14,61,No Rate,No Rate,No Rate,No Rate,No Rate
5383,The 13th Warrior,1970-01-01 00:00:00.000001999,6.6,"120,562","Action, Adventure, History",102.0,Film,R,-,,Moderate,,Mild,Moderate
5384,The Man in the Iron Mask,1970-01-01 00:00:00.000001998,6.5,"161,678","Action, Adventure, Drama",132.0,Film,PG-13,-,Mild,Mild,Mild,,
5385,Ai no korîda,1970-01-01 00:00:00.000001976,6.6,"19,770","Drama, Romance",109.0,Film,X,-,Severe,Severe,Moderate,Mild,Severe
5386,En kongelig affære,1970-01-01 00:00:00.000002012,7.5,"46,003","Biography, Drama, History",137.0,Film,R,-,Moderate,Mild,Mild,Mild,Mild
5387,Psycho II,1970-01-01 00:00:00.000001983,6.5,"26,021","Crime, Horror, Mystery",113.0,Film,R,-,Mild,Severe,Mild,Mild,Severe
5388,Dragon Ball: Doragon bôru,1970-01-01 00:00:00.000001983,8.5,"52,390","Animation, Action, Adventure",24.0,Series,TV-14,153,Moderate,Moderate,Mild,Mild,Mild
5389,Stuart Little,1970-01-01 00:00:00.000001999,5.9,"130,074","Adventure, Comedy, Family",84.0,Film,PG,-,,Mild,Mild,,Mild
5390,Rocky III,1970-01-01 00:00:00.000001982,6.8,"181,885","Drama, Sport",99.0,Film,PG,-,,Moderate,Mild,Mild,Moderate
5391,Super Troopers,1970-01-01 00:00:00.000002001,7.1,"100,571","Comedy, Crime, Mystery",100.0,Film,R,-,Moderate,Mild,Severe,Moderate,
5392,Republic of Doyle,1970-01-01 00:00:00.000002001,7.4,"3,727","Comedy, Crime, Drama",60.0,Series,TV-14,78,Mild,Mild,No Rate,Moderate,No Rate
5393,City of Lies,1970-01-01 00:00:00.000002018,6.5,"10,515","Biography, Crime, Drama",112.0,Film,R,-,Mild,Moderate,Severe,Moderate,Mild
5394,Team America: World Police,1970-01-01 00:00:00.000002004,7.2,"164,565","Action, Comedy",98.0,Film,R,-,Severe,Severe,Severe,Mild,Mild
5395,O Menino que Matou Meus Pais,1970-01-01 00:00:00.000002021,6.2,"2,047","Crime, Drama, Thriller",80.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
5396,Gamer,1970-01-01 00:00:00.000002009,5.8,"132,645","Action, Sci-Fi, Thriller",95.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
5397,Chronicle,1970-01-01 00:00:00.000002012,7.0,"245,159","Action, Drama, Sci-Fi",89.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Severe
5398,Dark Angel,1970-01-01 00:00:00.000002012,7.4,"31,796","Action, Drama, Mystery",60.0,Series,TV-14,42,No Rate,No Rate,No Rate,No Rate,No Rate
5399,Exorcist: The Beginning,1970-01-01 00:00:00.000002004,5.1,"36,050","Horror, Mystery, Thriller",114.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
5400,The Room,1970-01-01 00:00:00.000002019,6.0,"18,162","Drama, Horror, Mystery",100.0,Film,Not Rated,-,Moderate,Mild,Mild,Mild,Mild
5401,What About Bob?,1970-01-01 00:00:00.000001991,7.0,"66,024",Comedy,99.0,Film,PG,-,,Mild,Mild,,
5402,A Million Little Pieces,1970-01-01 00:00:00.000002018,6.2,"2,459",Drama,113.0,Film,R,-,Severe,Mild,Moderate,Severe,Moderate
5403,Remember Me,1970-01-01 00:00:00.000002010,7.1,"142,430","Drama, Romance",113.0,Film,PG-13,-,Moderate,Moderate,Moderate,Moderate,Moderate
5404,A Place to Call Home,1970-01-01 00:00:00.000002010,8.3,"4,851",Drama,60.0,Series,Not Rated,67,Mild,No Rate,Mild,Moderate,Mild
5405,Leonardo,1970-01-01 00:00:00.000002010,7.2,"2,137","Biography, Drama, History",52.0,Series,Not Rated,8,Mild,,,Mild,Mild
5406,Endless Love,1970-01-01 00:00:00.000002014,6.3,"42,765","Drama, Romance",104.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
5407,Neighbours,1970-01-01 00:00:00.000002014,5.4,"5,020","Drama, Romance",22.0,Series,TV-G,9059,Mild,Mild,Mild,Mild,Mild
5408,Ip Man,1970-01-01 00:00:00.000002008,8.0,"217,554","Action, Biography, Drama",106.0,Film,R,-,,Moderate,Mild,Mild,Moderate
5409,The Owners,1970-01-01 00:00:00.000002020,4.9,"6,762","Comedy, Crime, Horror",92.0,Film,Not Rated,-,Mild,Moderate,Severe,Mild,Moderate
5410,The Three Musketeers,1970-01-01 00:00:00.000001993,6.4,"52,927","Action, Adventure, Comedy",105.0,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
5411,Monte Carlo,1970-01-01 00:00:00.000002011,5.8,"43,176","Adventure, Comedy, Family",109.0,Film,PG,-,,,Mild,,
5412,eXistenZ,1970-01-01 00:00:00.000001999,6.8,"97,224","Horror, Sci-Fi, Thriller",97.0,Film,R,-,Mild,Severe,Moderate,,Moderate
5413,Vortex,1970-01-01 00:00:00.000002021,7.4,238,Drama,135.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
5414,The Omen,1970-01-01 00:00:00.000002006,5.5,"57,908","Action, Adventure, Fantasy",110.0,Film,R,-,,Severe,Moderate,Mild,Severe
5416,Assault on Precinct 13,1970-01-01 00:00:00.000001976,7.4,"47,462","Action, Crime, Thriller",91.0,Film,R,-,,Severe,Moderate,Mild,Moderate
5417,21 Grams,1970-01-01 00:00:00.000002003,7.6,"231,052","Crime, Drama, Thriller",124.0,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
5418,Seppuku,1970-01-01 00:00:00.000001962,8.6,"49,571","Action, Drama, Mystery",133.0,Film,Not Rated,-,,Severe,,,Moderate
