,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
136,Superstore,1970-01-01 00:00:00.000002021,7.8,"39,602",Comedy,22.0,Series,TV-14,113,Mild,Mild,Mild,Mild,
137,The Resident,1970-01-01 00:00:00.000002021,7.7,"22,186",Drama,60.0,Series,TV-14,76,Mild,Mild,Mild,Mild,Mild
138,Gisaengchung,1970-01-01 00:00:00.000002019,8.6,"669,620","Comedy, Drama, Thriller",132.0,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
139,Mr. Robot,1970-01-01 00:00:00.000002019,8.5,"354,297","Crime, Drama, Thriller",49.0,Series,TV-MA,45,Moderate,Severe,Severe,Severe,Severe
140,Last Night in Soho,1970-01-01 00:00:00.000002021,7.4,"1,122","Drama, Horror, Mystery",116.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
141,Titanic,1970-01-01 00:00:00.000001997,7.8,"1,096,676","Drama, Romance",194.0,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Severe
142,Shiddat,1970-01-01 00:00:00.000002021,8.0,"8,066",Romance,146.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
143,Scream,1970-01-01 00:00:00.000002022,No Rate,No Votes,"Horror, Mystery, Thriller",120.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
144,Ozark,1970-01-01 00:00:00.000002022,8.4,"214,799","Crime, Drama, Thriller",60.0,Series,TV-MA,44,Severe,Severe,Severe,Severe,Severe
145,Rise of the Footsoldier: Origins,1970-01-01 00:00:00.000002021,6.4,"1,894","Action, Crime, Drama",107.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
146,F9,1970-01-01 00:00:00.000002021,5.2,"97,696","Action, Adventure, Crime",143.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
147,Shingeki no kyojin,1970-01-01 00:00:00.000002021,9.0,"255,267","Animation, Action, Adventure",24.0,Series,TV-MA,86,Mild,Severe,Moderate,Mild,Severe
148,365 dni,1970-01-01 00:00:00.000002020,3.3,"67,739","Drama, Romance",114.0,Film,TV-MA,-,Severe,Mild,Moderate,Moderate,Mild
149,Archer,1970-01-01 00:00:00.000002020,8.6,"144,917","Animation, Action, Comedy",22.0,Series,TV-MA,135,Moderate,Severe,Severe,Severe,Moderate
150,How I Met Your Mother,1970-01-01 00:00:00.000002020,8.3,"635,038","Comedy, Romance",22.0,Series,TV-14,208,Moderate,,Mild,Moderate,
151,Chehre,1970-01-01 00:00:00.000002021,6.6,"21,358","Drama, Mystery, Thriller",139.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
152,Young Sheldon,1970-01-01 00:00:00.000002021,7.5,"41,356",Comedy,30.0,Series,TV-PG,90,Mild,,Mild,Mild,
155,Manifest,1970-01-01 00:00:00.000002022,7.1,"39,468","Drama, Mystery, Sci-Fi",43.0,Series,TV-14,62,Mild,Mild,Mild,,Mild
156,S.W.A.T.,1970-01-01 00:00:00.000002022,7.1,"18,353","Action, Adventure, Crime",43.0,Series,TV-14,89,Mild,Moderate,Mild,Mild,Moderate
157,Friday Night Lights,1970-01-01 00:00:00.000002022,8.6,"60,640","Drama, Sport",44.0,Series,TV-14,76,Mild,Mild,Mild,Moderate,
158,9-1-1,1970-01-01 00:00:00.000002022,7.8,"26,981","Action, Drama, Thriller",43.0,Series,TV-14,65,Mild,Moderate,Mild,Mild,Moderate
159,Heat,1970-01-01 00:00:00.000001995,8.2,"609,446","Crime, Drama, Thriller",170.0,Film,R,-,Mild,Severe,Severe,Mild,Moderate
160,Old Henry,1970-01-01 00:00:00.000002021,7.2,"4,233",Western,99.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
161,Chicago P.D.,1970-01-01 00:00:00.000002021,8.1,"32,212","Action, Crime, Drama",43.0,Series,TV-14,171,Mild,Moderate,Mild,Moderate,Moderate
162,Shameless,1970-01-01 00:00:00.000002021,8.5,"217,452","Comedy, Drama",46.0,Series,TV-MA,134,Severe,Moderate,Severe,Severe,Moderate
163,The Expanse,1970-01-01 00:00:00.000002021,8.5,"123,865","Drama, Mystery, Sci-Fi",60.0,Series,TV-14,62,Moderate,Moderate,Moderate,Mild,Moderate
164,Muppets Haunted Mansion,1970-01-01 00:00:00.000002021,6.7,"2,929","Adventure, Comedy, Family",52.0,Film,TV-PG,-,,Mild,Mild,,Moderate
